threshold_percents	cluster_id	representative	cluster_size

10	1	afm_dropout_full_woTemplates_model_5_multimer_v1_pred_27.pdb	7986
10	2	afm_dropout_full_woTemplates_model_2_multimer_v1_pred_36.pdb	23
10	3	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_65.pdb	11
10	4	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_9.pdb	9
10	5	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_48.pdb	3
10	6	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_60.pdb	3
10	7	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_48.pdb	2
10	8	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_34.pdb	1
10	9	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_47.pdb	1
10	10	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_28.pdb	1

20	1	afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_52.pdb	7893
20	2	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_10.pdb	82
20	3	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_7.pdb	14
20	4	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_62.pdb	6
20	5	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_44.pdb	4
20	6	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_33.pdb	4
20	7	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_65.pdb	3
20	8	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_32.pdb	2
20	9	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_44.pdb	2
20	10	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_62.pdb	2
20	11	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_2.pdb	1
20	12	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_23.pdb	1
20	13	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_28.pdb	1
20	14	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_3.pdb	1
20	15	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_34.pdb	1
20	16	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_36.pdb	1
20	17	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_42.pdb	1
20	18	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_47.pdb	1
20	19	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_48.pdb	1
20	20	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_63.pdb	1
20	21	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_7.pdb	1
20	22	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_20.pdb	1
20	23	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_4.pdb	1
20	24	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_48.pdb	1
20	25	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_46.pdb	1
20	26	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_53.pdb	1
20	27	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_54.pdb	1
20	28	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_55.pdb	1
20	29	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_9.pdb	1
20	30	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_28.pdb	1
20	31	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_41.pdb	1
20	32	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_43.pdb	1
20	33	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_50.pdb	1
20	34	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_55.pdb	1
20	35	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_56.pdb	1
20	36	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_66.pdb	1
20	37	afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_37.pdb	1
20	38	afm_woTemplates_model_4_multimer_v1_pred_15.pdb	1

30	1	afm_woTemplates_model_5_multimer_v1_pred_10.pdb	7526
30	2	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_23.pdb	427
30	3	afm_dropout_full_woTemplates_model_1_multimer_v1_pred_1.pdb	17
30	4	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_27.pdb	5
30	5	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_64.pdb	4
30	6	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_38.pdb	4
30	7	afm_dropout_full_woTemplates_model_3_multimer_v3_pred_29.pdb	2
30	8	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_12.pdb	2
30	9	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_33.pdb	2
30	10	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_6.pdb	2
30	11	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_12.pdb	2
30	12	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_31.pdb	2
30	13	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_2.pdb	1
30	14	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_23.pdb	1
30	15	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_28.pdb	1
30	16	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_3.pdb	1
30	17	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_32.pdb	1
30	18	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_34.pdb	1
30	19	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_36.pdb	1
30	20	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_42.pdb	1
30	21	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_47.pdb	1
30	22	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_48.pdb	1
30	23	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_54.pdb	1
30	24	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_61.pdb	1
30	25	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_63.pdb	1
30	26	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_65.pdb	1
30	27	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_66.pdb	1
30	28	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_7.pdb	1
30	29	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_20.pdb	1
30	30	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_4.pdb	1
30	31	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_48.pdb	1
30	32	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_17.pdb	1
30	33	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_34.pdb	1
30	34	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_44.pdb	1
30	35	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_46.pdb	1
30	36	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_47.pdb	1
30	37	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_53.pdb	1
30	38	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_54.pdb	1
30	39	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_55.pdb	1
30	40	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_60.pdb	1
30	41	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_62.pdb	1
30	42	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_9.pdb	1
30	43	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_28.pdb	1
30	44	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_31.pdb	1
30	45	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_41.pdb	1
30	46	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_43.pdb	1
30	47	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_44.pdb	1
30	48	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_50.pdb	1
30	49	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_55.pdb	1
30	50	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_56.pdb	1
30	51	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_6.pdb	1
30	52	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_62.pdb	1
30	53	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_66.pdb	1
30	54	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_8.pdb	1
30	55	afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_37.pdb	1
30	56	afm_woTemplates_model_4_multimer_v1_pred_15.pdb	1
30	57	cf_dropout_full_woTemplates_model_1_multimer_v1_pred_40.pdb	1

40	1	afm_dropout_full_woTemplates_model_1_multimer_v1_pred_28.pdb	7474
40	2	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_23.pdb	412
40	3	afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_0.pdb	28
40	4	afm_dropout_full_woTemplates_model_2_multimer_v1_pred_44.pdb	19
40	5	afm_dropout_full_woTemplates_model_1_multimer_v1_pred_1.pdb	18
40	6	afm_dropout_full_woTemplates_model_1_multimer_v1_pred_42.pdb	10
40	7	afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_35.pdb	4
40	8	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_15.pdb	2
40	9	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_30.pdb	2
40	10	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_58.pdb	2
40	11	afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_38.pdb	2
40	12	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_14.pdb	2
40	13	afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_19.pdb	2
40	14	afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_11.pdb	1
