name	threshold_10	threshold_20	threshold_30	threshold_40	threshold_50	threshold_60	threshold_70	threshold_80	threshold_90
H2424TS135_1	1	1	1	1	1	1	1	8	5
H2424TS135_2	1	1	1	1	1	1	4	3	6
H2424TS135_3	1	1	1	1	1	1	4	3	7
H2424TS135_4	1	1	1	1	1	1	1	9	8
H2424TS135_5	1	1	1	1	1	1	1	10	9
H2424TS137_1	1	1	1	1	1	1	2	1	1
H2424TS137_2	1	1	1	1	1	1	2	1	1
H2424TS137_3	1	1	1	1	1	1	1	1	1
H2424TS170_1	1	1	1	1	1	1	2	1	1
H2424TS170_2	1	1	1	1	1	1	2	1	1
H2424TS170_3	1	1	1	1	1	1	1	1	1
H2424TS244_1	1	1	1	1	1	3	5	4	2
H2424TS244_2	1	1	1	1	1	3	5	4	2
H2424TS244_3	1	1	1	1	1	3	5	4	2
H2424TS244_4	1	1	1	1	1	3	5	4	2
H2424TS244_5	1	1	1	1	1	3	5	4	2
H2424TS315_1	1	1	1	1	1	1	1	8	5
H2424TS315_2	1	1	1	1	1	1	4	3	6
H2424TS315_3	1	1	1	1	1	1	4	3	7
H2424TS315_4	1	1	1	1	1	1	1	9	8
H2424TS315_5	1	1	1	1	1	1	1	10	9
H2424TS350_1	1	1	1	1	1	1	2	12	19
H2424TS350_2	1	1	1	1	1	1	2	12	20
H2424TS350_3	1	1	1	1	1	1	2	16	21
H2424TS350_4	1	1	1	1	1	1	2	12	22
H2424TS350_5	1	1	1	1	1	1	2	17	23
H2424TS394_1	1	1	1	1	1	1	2	18	24
H2424TS439_1	1	4	5	5	5	11	14	19	25
H2424TS439_2	1	5	6	6	6	12	15	20	26
H2424TS439_3	1	1	7	7	7	13	16	21	27
H2424TS439_4	1	1	1	8	8	14	17	22	28
H2424TS439_5	1	1	8	9	9	15	18	23	29
H2424TS468_1	1	6	9	10	10	16	19	24	30
H2424TS468_2	1	7	10	11	11	17	20	25	31
H2424TS468_3	1	8	11	12	12	18	21	26	32
H2424TS468_4	1	9	12	13	13	19	22	27	33
H2424TS468_5	1	10	13	14	14	20	23	28	34
H2424TS475_1	1	1	1	1	1	2	3	2	12
H2424TS475_2	1	1	1	1	1	2	3	2	13
H2424TS475_3	1	1	1	1	1	2	3	2	14
H2424TS475_4	1	1	1	1	1	2	3	2	15
H2424TS475_5	1	1	1	1	1	2	3	2	16
H2424TS485_1	1	1	1	2	2	4	24	29	35
H2424TS485_2	1	1	1	2	2	4	9	30	36
H2424TS485_3	1	1	1	2	2	4	9	31	37
H2424TS485_4	1	1	1	2	2	4	9	32	38
H2424TS485_5	1	1	1	2	2	4	9	33	39
H2424TS543_1	1	1	1	1	1	9	12	13	17
H2424TS543_2	1	1	1	1	1	9	25	34	40
H2424TS543_3	1	1	4	4	15	21	26	35	41
H2424TS543_4	1	1	4	4	16	22	27	36	42
H2424TS543_5	1	1	1	1	1	9	12	13	17
H2424TS552_1	1	1	1	1	4	8	10	11	10
H2424TS552_2	1	1	1	1	4	8	10	11	10
H2424TS552_3	1	1	1	1	4	8	10	11	10
H2424TS552_4	1	1	1	1	4	8	10	11	10
H2424TS552_5	1	1	1	1	17	23	28	37	43
H2424TS558_1	1	1	1	1	1	2	3	2	12
H2424TS558_2	1	1	1	1	1	2	3	2	13
H2424TS558_3	1	1	1	1	1	2	3	2	14
H2424TS558_4	1	1	1	1	1	2	3	2	15
H2424TS558_5	1	1	1	1	1	2	3	2	16
H2424TS566_1	3	2	2	3	3	5	6	5	11
H2424TS566_2	1	2	2	3	3	5	6	5	18
H2424TS566_3	3	2	2	3	3	5	6	5	11
H2424TS566_4	1	2	2	3	3	5	6	5	18
H2424TS566_5	3	2	2	3	3	5	6	5	11
H2424TS578_1	1	1	1	1	1	6	7	6	3
H2424TS578_2	1	1	1	1	1	6	7	6	3
H2424TS578_3	1	1	1	1	1	6	7	6	3
H2424TS578_4	1	1	1	1	1	6	7	6	3
H2424TS578_5	1	1	1	1	1	6	7	6	3
H2424TS580_1	1	11	14	15	18	24	29	38	44
H2424TS580_2	1	12	15	16	19	25	30	39	45
H2424TS580_3	1	13	16	17	20	26	31	40	46
H2424TS580_4	1	1	17	18	21	27	32	41	47
H2424TS580_5	1	1	18	19	22	28	33	42	48
H2424TS588_1	1	1	1	1	1	1	2	43	49
H2424TS588_2	1	1	1	1	1	1	11	14	50
H2424TS588_3	1	1	1	1	1	1	11	15	51
H2424TS588_4	1	1	1	1	1	1	11	15	52
H2424TS588_5	1	1	1	1	1	1	2	14	53
H2424TS597_1	1	1	1	1	1	1	1	1	1
H2424TS597_2	1	1	1	1	1	1	1	1	1
H2424TS597_4	1	1	1	1	1	1	1	1	1
H2424TS597_5	1	1	1	1	1	1	1	1	1
H2424TS613_1	1	1	1	1	1	1	13	44	54
H2424TS633_1	1	14	19	20	23	29	34	45	55
H2424TS633_2	1	15	20	21	24	30	35	46	56
H2424TS633_3	1	16	21	22	25	31	36	47	57
H2424TS633_4	1	17	22	23	26	32	37	48	58
H2424TS633_5	1	18	23	24	27	33	38	49	59
H2424TS653_1	1	1	1	1	1	1	1	8	5
H2424TS653_2	1	1	1	1	1	1	4	3	6
H2424TS653_3	1	1	1	1	1	1	4	3	7
H2424TS653_4	1	1	1	1	1	1	1	9	8
H2424TS653_5	1	1	1	1	1	1	1	10	9
H2424TS656_1	1	19	24	25	28	34	39	50	60
H2424TS656_2	1	1	25	26	29	35	40	51	61
H2424TS656_3	1	20	26	27	30	36	41	52	62
H2424TS656_4	1	21	27	28	31	37	42	53	63
H2424TS656_5	1	22	28	29	32	38	43	54	64
H2424TS663_1	2	3	3	30	33	39	44	55	65
H2424TS663_2	2	3	29	31	34	40	45	56	66
H2424TS663_3	2	3	3	32	35	41	46	57	67
H2424TS663_4	2	3	3	33	36	42	47	58	68
H2424TS808_2	1	1	1	1	1	43	48	59	69
H2424TS840_1	1	1	1	1	1	7	8	7	4
H2424TS840_2	1	1	1	1	1	7	8	7	4
H2424TS840_3	1	1	1	1	1	7	8	7	4
H2424TS840_4	1	1	1	1	1	7	8	7	4
H2424TS840_5	1	1	1	1	1	7	8	7	4
H2424TS875_1	1	1	1	1	1	10	49	60	70
H2424TS875_2	1	1	1	1	1	1	50	61	71
H2424TS875_3	1	1	1	1	1	1	51	62	72
H2424TS875_4	1	1	1	1	1	10	52	63	73
H2424TS875_5	1	1	1	1	1	10	13	64	74
H2424TS892_1	1	1	1	1	1	1	1	8	5
H2424TS892_2	1	1	1	1	1	1	4	3	6
H2424TS892_3	1	1	1	1	1	1	4	3	7
H2424TS892_4	1	1	1	1	1	1	1	9	8
H2424TS892_5	1	1	1	1	1	1	1	10	9
