threshold_percents	cluster_id	representative	cluster_size

10	1	H2424TS350_5	115
10	2	H2424TS663_1	4
10	3	H2424TS566_1	3

20	1	H2424TS137_3	94
20	2	H2424TS566_1	5
20	3	H2424TS663_1	4
20	4	H2424TS439_1	1
20	5	H2424TS439_2	1
20	6	H2424TS468_1	1
20	7	H2424TS468_2	1
20	8	H2424TS468_3	1
20	9	H2424TS468_4	1
20	10	H2424TS468_5	1
20	11	H2424TS580_1	1
20	12	H2424TS580_2	1
20	13	H2424TS580_3	1
20	14	H2424TS633_1	1
20	15	H2424TS633_2	1
20	16	H2424TS633_3	1
20	17	H2424TS633_4	1
20	18	H2424TS633_5	1
20	19	H2424TS656_1	1
20	20	H2424TS656_3	1
20	21	H2424TS656_4	1
20	22	H2424TS656_5	1

30	1	H2424TS137_1	87
30	2	H2424TS566_1	5
30	3	H2424TS663_4	3
30	4	H2424TS543_3	2
30	5	H2424TS439_1	1
30	6	H2424TS439_2	1
30	7	H2424TS439_3	1
30	8	H2424TS439_5	1
30	9	H2424TS468_1	1
30	10	H2424TS468_2	1
30	11	H2424TS468_3	1
30	12	H2424TS468_4	1
30	13	H2424TS468_5	1
30	14	H2424TS580_1	1
30	15	H2424TS580_2	1
30	16	H2424TS580_3	1
30	17	H2424TS580_4	1
30	18	H2424TS580_5	1
30	19	H2424TS633_1	1
30	20	H2424TS633_2	1
30	21	H2424TS633_3	1
30	22	H2424TS633_4	1
30	23	H2424TS633_5	1
30	24	H2424TS656_1	1
30	25	H2424TS656_2	1
30	26	H2424TS656_3	1
30	27	H2424TS656_4	1
30	28	H2424TS656_5	1
30	29	H2424TS663_2	1

40	1	H2424TS135_1	81
40	2	H2424TS485_1	5
40	3	H2424TS566_1	5
40	4	H2424TS543_3	2
40	5	H2424TS439_1	1
40	6	H2424TS439_2	1
40	7	H2424TS439_3	1
40	8	H2424TS439_4	1
40	9	H2424TS439_5	1
40	10	H2424TS468_1	1
40	11	H2424TS468_2	1
40	12	H2424TS468_3	1
40	13	H2424TS468_4	1
40	14	H2424TS468_5	1
40	15	H2424TS580_1	1
40	16	H2424TS580_2	1
40	17	H2424TS580_3	1
40	18	H2424TS580_4	1
40	19	H2424TS580_5	1
40	20	H2424TS633_1	1
40	21	H2424TS633_2	1
40	22	H2424TS633_3	1
40	23	H2424TS633_4	1
40	24	H2424TS633_5	1
40	25	H2424TS656_1	1
40	26	H2424TS656_2	1
40	27	H2424TS656_3	1
40	28	H2424TS656_4	1
40	29	H2424TS656_5	1
40	30	H2424TS663_1	1
40	31	H2424TS663_2	1
40	32	H2424TS663_3	1
40	33	H2424TS663_4	1

50	1	H2424TS137_1	76
50	2	H2424TS485_1	5
50	3	H2424TS566_1	5
50	4	H2424TS552_1	4
50	5	H2424TS439_1	1
50	6	H2424TS439_2	1
50	7	H2424TS439_3	1
50	8	H2424TS439_4	1
50	9	H2424TS439_5	1
50	10	H2424TS468_1	1
50	11	H2424TS468_2	1
50	12	H2424TS468_3	1
50	13	H2424TS468_4	1
50	14	H2424TS468_5	1
50	15	H2424TS543_3	1
50	16	H2424TS543_4	1
50	17	H2424TS552_5	1
50	18	H2424TS580_1	1
50	19	H2424TS580_2	1
50	20	H2424TS580_3	1
50	21	H2424TS580_4	1
50	22	H2424TS580_5	1
50	23	H2424TS633_1	1
50	24	H2424TS633_2	1
50	25	H2424TS633_3	1
50	26	H2424TS633_4	1
50	27	H2424TS633_5	1
50	28	H2424TS656_1	1
50	29	H2424TS656_2	1
50	30	H2424TS656_3	1
50	31	H2424TS656_4	1
50	32	H2424TS656_5	1
50	33	H2424TS663_1	1
50	34	H2424TS663_2	1
50	35	H2424TS663_3	1
50	36	H2424TS663_4	1

60	1	H2424TS135_1	44
60	2	H2424TS475_1	10
60	3	H2424TS244_1	5
60	4	H2424TS485_4	5
60	5	H2424TS566_1	5
60	6	H2424TS578_1	5
